day_type,category,num_days,avg_time
weekend,1806,4,23.75
weekend,180701,4,12.5
weekend,010201,4,67.75
weekend,030501,4,6.25
weekend,09,4,6.25
weekend,020201,4,40.75
weekend,110101,4,32
weekend,010101,4,463.5
weekend,120308,4,136
weekend,020203,4,26.5
weekend,020902,4,17.25
weekend,060301,4,347
weekend,120101,4,118.25
weekend,0701,4,64.5
weekend,120303,4,35.5
weekday,1806,10,38.5
weekday,050101,10,3
weekday,010201,10,48.2
weekday,040599,10,2.9
weekday,060101,10,103.7
weekday,030501,10,2.9
weekday,09,10,1.5
weekday,020902,10,4.3
weekday,110101,10,23.8
weekday,010101,10,305.7
weekday,060299,10,43.8
weekday,0701,10,4
weekday,120308,10,72.3
weekday,020203,10,15.1
weekday,020201,10,35.5
weekday,060301,10,401.5
weekday,120101,10,65.8
weekday,100304,10,0.1
weekday,120303,10,2.1
